Case #001: AC | Time: 0.014s
Case #002: AC | Time: 0.013s
Case #003: AC | Time: 0.013s
Case #004: AC | Time: 0.013s
Case #005: AC | Time: 0.012s
Case #006: AC | Time: 0.014s
Case #007: AC | Time: 0.015s
Case #008: AC | Time: 0.014s
Case #009: AC | Time: 0.013s
Case #010: AC | Time: 0.014s
Case #011: AC | Time: 0.013s
Case #012: AC | Time: 0.010s
Case #013: AC | Time: 0.010s
Case #014: AC | Time: 0.012s
Case #015: AC | Time: 0.012s
Case #016: AC | Time: 0.014s
Case #017: AC | Time: 0.021s
Case #018: AC | Time: 0.016s
Case #019: AC | Time: 0.015s
Case #020: AC | Time: 0.016s
Case #021: AC | Time: 0.022s
Case #022: AC | Time: 0.024s
Case #023: AC | Time: 0.023s
Case #024: AC | Time: 0.016s
Case #025: AC | Time: 0.018s
Case #026: AC | Time: 0.023s
Case #027: AC | Time: 0.019s
Case #028: AC | Time: 0.018s
Case #029: AC | Time: 0.016s
Case #030: AC | Time: 0.018s
Case #031: AC | Time: 0.019s
Case #032: AC | Time: 0.019s
Case #033: AC | Time: 0.020s
Case #034: AC | Time: 0.019s
Case #035: AC | Time: 0.020s
Case #036: AC | Time: 0.018s
Case #037: AC | Time: 0.020s
Case #038: AC | Time: 0.017s
Case #039: AC | Time: 0.020s
Case #040: AC | Time: 0.018s
Case #041: AC | Time: 0.020s
Case #042: AC | Time: 0.019s
Case #043: AC | Time: 0.019s
Case #044: AC | Time: 0.019s
Case #045: AC | Time: 0.018s
Case #046: AC | Time: 0.020s
Case #047: AC | Time: 0.023s
Case #048: AC | Time: 0.022s
Case #049: AC | Time: 0.022s
Case #050: AC | Time: 0.026s
Case #051: AC | Time: 0.029s
Case #052: AC | Time: 0.031s
Case #053: AC | Time: 0.030s
Case #054: AC | Time: 0.059s
Case #055: AC | Time: 0.031s
Case #056: AC | Time: 0.026s
Case #057: AC | Time: 0.032s
Case #058: AC | Time: 0.031s
Case #059: AC | Time: 0.030s
Case #060: AC | Time: 0.049s
Case #061: AC | Time: 0.270s
Case #062: AC | Time: 0.262s
Case #063: AC | Time: 0.250s
Case #064: AC | Time: 0.231s
Case #065: AC | Time: 0.548s
Case #066: AC | Time: 0.524s
Case #067: AC | Time: 0.516s
Case #068: AC | Time: 0.306s
Case #069: AC | Time: 0.427s
Case #070: AC | Time: 0.253s
Case #071: AC | Time: 0.284s
Case #072: AC | Time: 0.277s
Case #073: AC | Time: 0.248s
Case #074: AC | Time: 0.331s
Case #075: AC | Time: 0.250s
Case #076: AC | Time: 0.277s
Case #077: AC | Time: 0.245s
Case #078: AC | Time: 0.364s
Case #079: AC | Time: 0.293s
Case #080: AC | Time: 0.468s
Case #081: AC | Time: 0.393s
Case #082: AC | Time: 0.281s
Case #083: AC | Time: 0.296s
Case #084: AC | Time: 0.377s

Score: 84/84
